profile_id	module	function	irve_score	plot_color
intS_IRVE-S1	Integration-Excision	Serine-Recombinase	-5	yellow
intS_IRVE-S2	Integration-Excision	Serine-Recombinase	2	yellow
intS_IRVE-S3	Integration-Excision	Serine-Recombinase	2	yellow
intS_IRVE-S4	Integration-Excision	Serine-Recombinase	2	yellow
intY_IRVE-Y10	Integration-Excision	Tyrosine-Recombinase	2	yellow
intY_IRVE-Y1	Integration-Excision	Tyrosine-Recombinase	-5	yellow
intY_IRVE-Y2	Integration-Excision	Tyrosine-Recombinase	2	yellow
intY_IRVE-Y3	Integration-Excision	Tyrosine-Recombinase	2	yellow
intY_IRVE-Y4	Integration-Excision	Tyrosine-Recombinase	2	yellow
intY_IRVE-Y5	Integration-Excision	Tyrosine-Recombinase	2	yellow
intY_IRVE-Y6	Integration-Excision	Tyrosine-Recombinase	2	yellow
intY_IRVE-Y7	Integration-Excision	Tyrosine-Recombinase	2	yellow
intY_IRVE-Y8	Integration-Excision	Tyrosine-Recombinase	2	yellow
intY_IRVE-Y9	Integration-Excision	Tyrosine-Recombinase	2	yellow
intY_IRVE-YA	Integration-Excision	Tyrosine-Recombinase	2	yellow
intY_IRVE-YM	Integration-Excision	Tyrosine-Recombinase	2	yellow
intY_IRVE-YP	Integration-Excision	Tyrosine-Recombinase	2	yellow
intY_IRVE-YR	Integration-Excision	Tyrosine-Recombinase	2	yellow
intY_IRVE-YS	Integration-Excision	Tyrosine-Recombinase	2	yellow
intY_IRVE-YT1	Integration-Excision	Tyrosine-Recombinase	2	yellow
intY_IRVE-YT2	Integration-Excision	Tyrosine-Recombinase	2	yellow
intY_IRVE-Ytm	Integration-Excision	Tyrosine-Recombinase	2	yellow
intY_SM-Arch1	Integration-Excision	Tyrosine-Recombinase	2	yellow
intY_SM-Arch2	Integration-Excision	Tyrosine-Recombinase	2	yellow
intY_SM-BPP-1	Integration-Excision	Tyrosine-Recombinase	2	yellow
intY_SM-Brujita	Integration-Excision	Tyrosine-Recombinase	2	yellow
intY_SM-TnpR	Integration-Excision	Tyrosine-Recombinase	2	yellow
intY_SM-CTnDOT	Integration-Excision	Tyrosine-Recombinase	2	yellow
intY_SM-Candidate	Integration-Excision	Tyrosine-Recombinase	2	yellow
intY_SM-Cyan	Integration-Excision	Tyrosine-Recombinase	2	yellow
intY_SM-Des	Integration-Excision	Tyrosine-Recombinase	2	yellow
intY_SM-KX	Integration-Excision	Tyrosine-Recombinase	2	yellow
intY_SM-integron	Integration-Excision	Tyrosine-Recombinase	2	yellow
intY_SM-Myc	Integration-Excision	Tyrosine-Recombinase	2	yellow
intY_SM-P2	Integration-Excision	Tyrosine-Recombinase	2	yellow
intY_SM-RitA	Integration-Excision	Tyrosine-Recombinase	2	yellow
intY_SM-RitB	Integration-Excision	Tyrosine-Recombinase	2	yellow
intY_SM-RitC	Integration-Excision	Tyrosine-Recombinase	2	yellow
intY_SM-SXT	Integration-Excision	Tyrosine-Recombinase	2	yellow
intY_SM-Tn916	Integration-Excision	Tyrosine-Recombinase	2	yellow
intY_SM-TnpA	Integration-Excision	Tyrosine-Recombinase	2	yellow
intY_SM-Xer	Integration-Excision	Tyrosine-Recombinase	2	yellow
intS_PF-Resolvase	Integration-Excision	Serine-Recombinase	2	yellow
intY_PF-Phage_integrase	Integration-Excision	Tyrosine-Recombinase	2	yellow
intY_FS-1	Integration-Excision	Tyrosine-Recombinase	2	yellow
intY_HM-1	Integration-Excision	Tyrosine-Recombinase	2	yellow
intS_OH-1	Integration-Excision	Serine-Recombinase	2	yellow
intS_OH-2	Integration-Excision	Serine-Recombinase	2	yellow
intY_RM-1	Integration-Excision	Tyrosine-Recombinase	2	yellow
intY_RM-2	Integration-Excision	Tyrosine-Recombinase	2	yellow
int_PF-Cas1.hmm	Integration-Excision	Cas-Endonuclease	2	yellow
xis_IRVE	Integration-Excision	Excisionase	2	gold
xis_HM-1	Integration-Excision	Excisionase	2	gold
xis_HM-2	Integration-Excision	Excisionase	2	gold
xis_HM-3	Integration-Excision	Excisionase	2	gold
hel_IRVE-VirE	Replication	Helicase	2	#984ea3
hel_IRVE-DnaB	Replication	Helicase	2	#984ea3
hel_IRVE-D5	Replication	Helicase	2	#984ea3
pri_IRVE-Prim-Pol	Replication	Primase, Polymerase	2	#984ea3
pri_IRVE-Toprim	Replication	Primase	2	#984ea3
top_IRVE-Topoiso	Replication	Topoisomerase	2	#984ea3
lig_IRVE-NAD	Replication	Ligase	2	#984ea3
end_IRVE-TraY	Replication	Replication factor, Endonuclease subunit	2	#984ea3
rep_IRVE-Mu_Gam	Replication	Replication factor	2	#984ea3
rep_IRVE-1	Replication	Replication factor	2	#984ea3
rep_IRVE-2	Replication	Replication factor	2	#984ea3
rep_IRVE-3	Replication	Replication factor	2	#984ea3
rep_IRVE-4	Replication	Replication factor	2	#984ea3
rep_IRVE-5	Replication	Replication factor	2	#984ea3
rep_IRVE-6	Replication	Replication factor	2	#984ea3
