contig_id	start	end	element_id	score	strand	upstreamType	downstreamType	int_profile_id	profile_ids	secondary	complex	set
AG-355-N18_c	1061783	1087225	eAG-355-N18_01771	34	-	tRNA-Ala(ggc)-full	tRNA-Pro(tgg)-partial	YR_IRVE-A	lig_IRVE-NAD,xis_IRVE-1,rep_IRVE-1,rep_IRVE-8,hel_IRVE-VirE,reg_IRVE,hel_IRVE-DnaB,pri_IRVE-Prim-Pol,xis_IRVE-1,YR_IRVE-A	FALSE	TRUE	Tycheposon
AG-347-J23_c	1045690	1053687	eAG-347-J23_01089	33	-	tRNA-Pro(tgg)-partial	tRNA-Pro(tgg)-full	YR_IRVE-P	rep_IRVE-6,xis_IRVE-1,rep_IRVE-Mu_Gam,top_IRVE-Topoiso,hel_IRVE-DnaB,MCP_IRVE-HK97,reg_IRVE,lig_IRVE-NAD,YR_IRVE-P	FALSE	FALSE	Tycheposon
AG-402-K16_c	1012414	1020407	eAG-402-K16_00286	33	-	tRNA-Pro(tgg)-partial	tRNA-Pro(tgg)-partial	YR_IRVE-P	rep_IRVE-6,xis_IRVE-1,rep_IRVE-Mu_Gam,top_IRVE-Topoiso,hel_IRVE-DnaB,MCP_IRVE-HK97,reg_IRVE,lig_IRVE-NAD,YR_IRVE-P	FALSE	FALSE	Tycheposon
AG-355-N16_c	1094467	1103244	eAG-355-N16_01853	31	-	tRNA-Pro(tgg)-partial	tRNA-Pro(tgg)-partial	YR_IRVE-P	xis_IRVE-1,rep_IRVE-10,top_IRVE-Topoiso,hel_IRVE-DnaB,MCP_IRVE-HK97,reg_IRVE,lig_IRVE-NAD,YR_IRVE-P	FALSE	FALSE	Tycheposon
AG-355-O17_c	1055335	1062696	eAG-355-O17_01817	31	-	tRNA-Pro(tgg)-partial	tRNA-Pro(tgg)-partial	YR_IRVE-P	xis_IRVE-1,rep_IRVE-5,rep_IRVE-3,rep_IRVE-7,hel_IRVE-DnaB,MCP_IRVE-HK97,xis_IRVE-1,reg_IRVE,YR_IRVE-P	FALSE	FALSE	Tycheposon
AG-402-K10_c	609067	617289	eAG-402-K10_00129	31	+	tRNA-Pro(tgg)-partial	tRNA-Pro(tgg)-partial	YR_IRVE-P	YR_IRVE-P,lig_IRVE-NAD,reg_IRVE,MCP_IRVE-HK97,hel_IRVE-DnaB,top_IRVE-Topoiso,rep_IRVE-10,xis_IRVE-1	FALSE	FALSE	Tycheposon
AG-409-N21_c	751287	760209	eAG-409-N21_00406	31	+	tRNA-Ser(tga)-full	tRNA-Ser(tga)-partial	YR_IRVE-S	YR_IRVE-S,terS_IRVE,unk_IRVE-1,YR_IRVE-3,hel_IRVE-VirE,pri_IRVE-Prim-Pol,end_IRVE-TraY,xis_IRVE-1	FALSE	FALSE	Tycheposon
AG-418-P13_c	597473	605914	eAG-418-P13_01622	31	-	tRNA-Ser(tga)-full	tRNA-Ser(tga)-partial	YR_IRVE-S	xis_IRVE-1,end_IRVE-TraY,pri_IRVE-Prim-Pol,hel_IRVE-VirE,YR_IRVE-3,unk_IRVE-1,terS_IRVE,YR_IRVE-S	FALSE	FALSE	Tycheposon
AG-347-O22_c	1039692	1048335	eAG-347-O22_01166	30	-	tRNA-Pro(tgg)-full	tRNA-Pro(tgg)-partial	YR_IRVE-P	lig_IRVE-NAD,xis_IRVE-1,rep_IRVE-1,rep_IRVE-8,hel_IRVE-VirE,MCP_IRVE-HK97,reg_IRVE,YR_IRVE-P	FALSE	FALSE	Tycheposon
MIT1013_1	1464394	1473091	eMIT1013_01801	30	-	tRNA-Ala(ggc)-partial	tRNA-Ala(ggc)-full	YR_IRVE-A	xis_IRVE-1,rep_IRVE-5,rep_IRVE-3,pri_IRVE-Prim-Pol,hel_IRVE-VirE,MCP_IRVE-HK97,reg_IRVE,YR_IRVE-A	FALSE	FALSE	Tycheposon
